PROFILEAREA,SETTD,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
CITIPOWER,22/07/2011,22313.016,20234.836,21585.198,20010.622,18305.548,17310.436,16514.933,15973.967,15805.745,15778.875,16490.229,17804.181,20758.554,24838.247,28907.638,32061.227,32823.686,31946.601,31534.658,30721.87,30019.161,29406.399,28834.678,28195.578,27789.371,27326.494,27432.365,27253.72,27357.875,26980.597,26538.127,26728.84,27489.588,28459.108,30045.498,32535.089,33898.149,34212.713,33422.828,32617.033,31746.725,31103.93,30280.925,29340.506,28511.085,27726.208,27346.144,25603.299,MRIM
CITIPOWER,23/07/2011,23729.192,21867.811,23085.403,21422.932,19536.027,18260.17,17287.327,16568.102,16140.527,15927.6,16085.299,16464.737,17371.986,18557.183,19472.024,21878.611,24240.727,26193.566,27567.528,28510.563,29125.963,29196.396,28858.013,27565.98,26216.707,25342.96,25317.809,25278.664,25114.93,24727.76,24825.065,24848.311,25765.993,27720.629,30507.2,33387.252,34343.423,34203.243,33342.39,32187.751,31120.772,30268.744,29421.124,28413.751,27749.914,27168.05,27071.243,25786.487,MRIM
CITIPOWER,24/07/2011,24318.861,22558.179,23701.091,21380.315,19504.301,18270.516,17202.665,16367.522,15895.219,15575.267,15582.163,15722.388,16350.635,17053.826,17343.862,18869.419,20954.912,22706.462,24398.653,25555.999,26684.086,27392.981,27990.193,27829.14,27628.441,27411.299,27356.903,27039.237,25914.429,25308.203,25465.193,25904.874,26255.34,27917.462,30355.662,33431.47,35271.561,35650.109,35139.577,34683.893,33915.566,33068.553,31929.313,30293.913,28778.329,26975.512,25894.742,23850.963,MRIM
CITIPOWER,25/07/2011,21691.186,19793.394,21140.228,19590.155,18185.869,17120.318,16328.323,15699.963,15408.391,15330.256,16177.715,17489.716,20564.147,24710.578,28890.334,32266.671,33043.442,32881.72,33462.076,33677.416,33866.301,33624.107,33390.291,33340.923,33282.075,33170.464,33038.438,32810.222,32737.722,32021.875,30638.433,30779.156,31164.53,32464.707,34506.795,36845.578,38250.597,38901.958,38191.472,37350.298,36428.408,35534.1,34173.517,32087.285,30050.891,27836.691,25762.829,23575.01,MRIM
CITIPOWER,26/07/2011,21489.515,19557.227,20984.609,19628.92,18493.534,17828.552,16795.177,16315.82,16039.719,16027.389,16873.392,18273.678,21547.649,26206.45,30769.454,33928.745,34334.588,33834.34,33593.817,33569.503,33758.998,33209.767,33003.543,32843.974,31771.598,31647.652,31405.675,30307.376,29883.202,29254.694,28900.529,29203.349,29869.896,31090.997,33112.365,36427.599,38695.918,39341.887,38872.706,38125.309,37246.402,36610.227,35213.755,33486.514,31420.669,29200.733,27435.411,24863.874,MRIM
CITIPOWER,27/07/2011,22879.323,20726.407,22054.466,20595.637,19388.9,18570.856,17818.437,17260.206,17111.685,17273.805,18153.861,19672.996,23136.296,28195.346,32871.573,36292.263,36915.149,36130.298,35962.251,35012.706,34281.244,33154.689,32257.88,31473.51,30966.862,30531.286,30302.358,29573.747,29290.706,28853.143,28707.554,28957.925,29569.752,31055.784,33919.956,37447.683,39721.756,40519.363,40053.922,39531.282,38716.528,37999.811,36891.338,35106.959,32878.442,30527.772,28513.173,26044.69,MRIM
CITIPOWER,28/07/2011,23790.473,21564.011,22794.814,21238.601,19951.564,19073.901,18299.961,17741.9,17498.394,17635.39,18468.097,19920.861,23412.986,28447.705,33121.233,36270.133,36664.174,35499.013,34897.977,34083.188,33324.835,32296.66,31571.669,30868.863,30373.002,30022.28,29696.788,29155.691,28904.047,28493.071,28221.092,28492.256,29088.346,30226.086,32456.141,36159.832,38343.77,39190.639,38847.932,38189.056,37507.275,36962.4,35626.647,33886.063,32165.515,29915.662,28237.443,25539.42,MRIM
CITIPOWER,29/07/2011,23453.058,21232.347,22342.504,20872.628,19626.722,18723.671,18000.094,17504.883,17202.669,17311.653,18135.324,19561.388,23060.534,27723.879,32537.605,35554.645,35918.879,35659.687,35672.022,35223.496,34057.76,32764.397,32050.015,30772.168,30141.779,29930.926,29800.16,28880.561,28216.452,27765.668,27367.017,27483.266,28215.083,29529.409,31544.92,34735.496,36321.912,36602.967,35851.147,35082.498,34207.133,33511.068,32579.772,31321.858,30092.719,29124.327,28330.317,26151.787,MRIM
CITIPOWER,30/07/2011,23966.644,21649.076,22581.716,20684.566,19292.396,18216.293,17302.501,16581.006,16220.609,16067.173,16234.266,16522.928,17403.854,18526.483,19631.657,21766.662,23892.057,25934.106,27428.754,28150.586,28807.196,28936.567,29281.053,29144.685,28963.015,28913.417,29148.885,28718.626,28826.354,28939.759,28936.932,29482.938,30225.525,31568.014,33065.978,34685.136,35807.656,35520.199,34356.579,33323.339,32291.338,31347.692,30303.2,29146.433,28376.724,27855.248,27580.599,25933.989,MRIM
CITIPOWER,31/07/2011,23890.189,21795.063,22758.591,20981.543,19568.269,18571.502,17554.253,16777.624,16302.291,15969.644,16068.118,16251.097,16922.526,17684.144,18202.69,19783.524,21464.508,22411.761,23145.671,23264.07,23246.379,22894.596,22693.815,22293.408,21911.775,21479.007,21150.712,20796.894,20644.813,20687.624,20709.106,21038.68,21777.035,23316.802,25700.415,29730.361,32829.842,33732.857,33334.927,33023.96,32388.218,31647.261,30735.779,29087.745,27711.884,26217.933,25139.631,23129.078,MRIM
