,Date,Measure,Distributor,MeasurementType
179,2015-06-29,12.7,AusNet,MaxTemp
180,2015-06-30,13.8,AusNet,MaxTemp
181,2015-07-01,13.9,AusNet,MaxTemp
182,2015-07-02,10.9,AusNet,MaxTemp
183,2015-07-03,10.5,AusNet,MaxTemp
184,2015-07-04,10.0,AusNet,MaxTemp
185,2015-07-05,15.4,AusNet,MaxTemp
186,2015-07-06,10.8,AusNet,MaxTemp
187,2015-07-07,11.6,AusNet,MaxTemp
188,2015-07-08,13.3,AusNet,MaxTemp
189,2015-07-09,12.3,AusNet,MaxTemp
190,2015-07-10,15.5,AusNet,MaxTemp
191,2015-07-11,15.5,AusNet,MaxTemp
192,2015-07-12,11.3,AusNet,MaxTemp
193,2015-07-13,12.3,AusNet,MaxTemp
194,2015-07-14,10.5,AusNet,MaxTemp
195,2015-07-15,11.1,AusNet,MaxTemp
196,2015-07-16,12.3,AusNet,MaxTemp
197,2015-07-17,12.1,AusNet,MaxTemp
198,2015-07-18,12.3,AusNet,MaxTemp
199,2015-07-19,12.0,AusNet,MaxTemp
200,2015-07-20,12.4,AusNet,MaxTemp
201,2015-07-21,16.6,AusNet,MaxTemp
202,2015-07-22,17.2,AusNet,MaxTemp
203,2015-07-23,15.6,AusNet,MaxTemp
204,2015-07-24,14.8,AusNet,MaxTemp
205,2015-07-25,14.2,AusNet,MaxTemp
206,2015-07-26,10.6,AusNet,MaxTemp
207,2015-07-27,10.6,AusNet,MaxTemp
208,2015-07-28,13.3,AusNet,MaxTemp
209,2015-07-29,13.8,AusNet,MaxTemp
210,2015-07-30,12.8,AusNet,MaxTemp
211,2015-07-31,12.7,AusNet,MaxTemp
212,2015-08-01,10.7,AusNet,MaxTemp
213,2015-08-02,13.0,AusNet,MaxTemp
214,2015-08-03,9.1,AusNet,MaxTemp
215,2015-08-04,10.7,AusNet,MaxTemp
216,2015-08-05,9.7,AusNet,MaxTemp
217,2015-08-06,12.5,AusNet,MaxTemp
218,2015-08-07,13.5,AusNet,MaxTemp
219,2015-08-08,13.3,AusNet,MaxTemp
220,2015-08-09,13.1,AusNet,MaxTemp
221,2015-08-10,16.3,AusNet,MaxTemp
222,2015-08-11,15.5,AusNet,MaxTemp
223,2015-08-12,14.8,AusNet,MaxTemp
224,2015-08-13,12.6,AusNet,MaxTemp
225,2015-08-14,15.2,AusNet,MaxTemp
226,2015-08-15,15.8,AusNet,MaxTemp
227,2015-08-16,15.5,AusNet,MaxTemp
228,2015-08-17,11.8,AusNet,MaxTemp
229,2015-08-18,10.9,AusNet,MaxTemp
230,2015-08-19,13.4,AusNet,MaxTemp
231,2015-08-20,16.1,AusNet,MaxTemp
232,2015-08-21,13.6,AusNet,MaxTemp
233,2015-08-22,18.8,AusNet,MaxTemp
234,2015-08-23,17.5,AusNet,MaxTemp
235,2015-08-24,13.0,AusNet,MaxTemp
236,2015-08-25,13.6,AusNet,MaxTemp
237,2015-08-26,14.3,AusNet,MaxTemp
238,2015-08-27,10.3,AusNet,MaxTemp
239,2015-08-28,12.5,AusNet,MaxTemp
240,2015-08-29,12.3,AusNet,MaxTemp
241,2015-08-30,14.8,AusNet,MaxTemp
242,2015-08-31,14.5,AusNet,MaxTemp
243,2015-09-01,14.6,AusNet,MaxTemp
244,2015-09-02,17.4,AusNet,MaxTemp
245,2015-09-03,16.2,AusNet,MaxTemp
246,2015-09-04,14.0,AusNet,MaxTemp
247,2015-09-05,14.6,AusNet,MaxTemp
248,2015-09-06,14.0,AusNet,MaxTemp
249,2015-09-07,13.8,AusNet,MaxTemp
250,2015-09-08,12.1,AusNet,MaxTemp
251,2015-09-09,14.1,AusNet,MaxTemp
252,2015-09-10,16.4,AusNet,MaxTemp
253,2015-09-11,20.2,AusNet,MaxTemp
254,2015-09-12,21.4,AusNet,MaxTemp
255,2015-09-13,25.3,AusNet,MaxTemp
256,2015-09-14,27.4,AusNet,MaxTemp
257,2015-09-15,14.7,AusNet,MaxTemp
258,2015-09-16,14.8,AusNet,MaxTemp
259,2015-09-17,14.5,AusNet,MaxTemp
260,2015-09-18,16.4,AusNet,MaxTemp
261,2015-09-19,20.4,AusNet,MaxTemp
262,2015-09-20,21.4,AusNet,MaxTemp
263,2015-09-21,20.2,AusNet,MaxTemp
